"","Col_Shade_1_replicate1","Col_Shade_1_replicate2","Col_Sun_1_replicate1","Col_Sun_1_replicate2","Col_Shade_4_replicate1","Col_Shade_4_replicate2","Col_Sun_4_replicate1","Col_Sun_4_replicate2"
"AT5G44635",32.2291356459905,29.3146028811955,31.8786949974869,25.9566151554765,17.9832496513156,21.2167207300983,24.4786600086429,26.5914913083756
"AT5G44640",0.216302923798594,0,0,0,0,0,0,2.13681626585161
"AT5G44650",158.333740220571,162.379908116426,191.521222289589,242.819948228652,175.5507704057,173.802725980805,193.844523852226,199.673608842356
"AT5G44660",22.4955040750538,29.3146028811955,21.9166028107722,21.4909609351795,33.3974636381575,33.7142411601562,30.6534571279402,42.024053228415
"AT5G44670",8.86841987574235,10.3463304286573,6.22630761669665,10.885032161974,11.1324878793858,10.7536803700498,11.246951895863,14.9577138609613
"AT5G44680",75.4897204057093,80.4714588895564,59.52350081562,53.5878506435645,92.4852839210515,65.6846422603043,73.2154515573824,72.4143290094157
"AT5G44690",0,0,0,0,0,0,0,0
"AT5G44700",0,0,0,0,0,0.581280020002693,0,0.474848059078136
"AT5G44705",0,0,0,0,0,0,0,0
"AT5G44710",17.5205368276861,17.2438840477621,15.4412428894077,16.7462033261139,13.7015235438595,10.7536803700498,15.4369927982433,16.1448340086566
"AT5G44720",43.693190607316,40.2357294447782,65.2517038229809,43.5401286478961,41.9609158530697,44.1772815202047,58.6605726333245,61.0179755915405
"AT5G44730",27.9030771700186,22.9918453970161,24.9052304667866,24.8402016004023,28.2593923092102,29.0640010001346,23.8170746030039,28.01603548561
"AT5G44740",9.94993449473532,7.47234975403024,8.96588296804318,11.1641355507426,6.85076177192974,8.71920030004039,10.3648380216776,8.30984103386738
"AT5G44750",37.8530116647539,41.6727197820917,39.3502641375228,42.981921870359,35.1101540811399,43.596001500202,44.1056937092665,44.3982935238057
"AT5G44760",0,0,0,0,0,0,0,0.474848059078136
"AT5G44770",0,0,0,0,0,0,0,0.474848059078136
"AT5G44780",11.6803578851241,12.0707188334335,9.21493527271105,10.885032161974,11.9888331008771,8.42856029003905,9.04166721039964,8.78468909294551
"AT5G44785",50.1822783212738,56.0426231552268,56.0367685502699,57.4952980863244,53.9497489539467,43.8866415102033,57.7784587591391,63.6296399164702
"AT5G44790",41.3138584455314,34.7751661629869,43.3351010122087,42.7028184815904,45.3862967390346,39.8176813701845,41.0182951496179,41.786629198876
"AT5G44800",68.1354209965571,68.9755361910483,86.1720974150817,88.7548776284037,113.037569236841,94.4580032504376,97.2530546289327,109.689901647049
"AT5G44820",0.216302923798594,2.29918453970161,0,0.279103388768565,1.71269044298244,2.90640010001346,1.323170811278,1.89939223631254
"AT5G44830",0,0,0,0,0,0,0,0
"AT5G44840",0,0,0,0,0,0,0,0
"AT5G44850",0,0,0,0,0,0,0,0
"AT5G44860",17.7368397514847,20.9800589247772,18.4298705454221,20.9327541576424,21.4086305372805,15.9852005500741,21.8323183860869,21.6055866880552
"AT5G44870",15.5738105134988,21.5548550597026,17.4336613267506,18.9790304362624,26.5467018662278,23.8324808201104,23.1554891973649,18.7564983335864
"AT5G44875",0,0,0,0,0,0,0,0
"AT5G44880",0,0,0,0,0,0,0,0
"AT5G44890",0,0,0,0,0,0,0,0
"AT5G44894",0,0,0,0,0,0,0,0
"AT5G44900",0.216302923798594,0,0,0,0,0,0,0
"AT5G44910",0.216302923798594,0,0.996209218671465,1.11641355507426,0.856345221491218,1.74384006000808,0.661585405638998,0.237424029539068
"AT5G44920",4.32605847597188,3.44877680955242,4.48294148402159,4.7447576090656,4.28172610745609,4.06896014001885,4.41056937092665,3.56136044308602
"AT5G44925",0,0,0,0,0,0,0,0.237424029539068
